id;name;price;description;image_url;sale_price;quantity;jhi_condition;origin;configuration;creation_date;brand_id;category_id
1;Aruban Guilder bypass;75311;Stravenue Technician;Fantastic;28123;62904;88849;Avon;technologies;2021-01-07;1;1
2;Granite River productize;58347;Coordinator deposit;Total Officer;59585;80237;70128;tan Practical Frozen Shoes Orchestrator;envisioneer architecture;2021-01-07;2;2
3;Grocery;60418;Toys transmitter Avon;hard drive Director payment;12492;78686;9686;Salad;infomediaries Mandatory Money Market Account;2021-01-07;3;3
4;Regional indigo;95742;index;Bolivar Fuerte Regional Baby;85761;96544;63252;Malawi;Mount olive Strategist;2021-01-07;4;4
5;navigate;42740;gold;Home Loan Account Dynamic Refined Concrete Towels;84856;72326;36574;24/7 Consultant;Gibraltar Pound;2021-01-07;5;5
6;indigo Multi-tiered;91655;Buckinghamshire;TCP Web;13520;80665;64958;navigating;bluetooth Gloves;2021-01-07;6;6
7;cutting-edge;81092;Soft incentivize synthesizing;Tools;63439;82089;46610;Synchronised Cambridgeshire;GB Bedfordshire Intranet;2021-01-08;7;7
8;New York;55436;software cross-media;Alaska Yuan Renminbi pink;65795;46342;46876;hacking;matrix repurpose;2021-01-07;8;8
9;payment;68507;driver;driver Valleys;6561;52561;86333;Assurance engineer;Computers;2021-01-08;9;9
10;Borders optimize;56312;Technician plum Pizza;parsing USB Awesome Metal Bike;27117;26866;83796;disintermediate;online;2021-01-08;10;10
